2025-03-30 20:07:16 [TestNG-tests-1] INFO  Log - Startedchrome
2025-03-30 20:07:16 [TestNG-tests-2] INFO  Log - Startededge
2025-04-05 11:45:37 [TestNG-tests-2] INFO  Log - Started edge
2025-04-05 11:45:37 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 11:47:36 [TestNG-tests-2] INFO  Log - Started edge
2025-04-05 11:47:36 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 12:12:07 [TestNG-tests-2] INFO  Log - Started edge
2025-04-05 12:12:07 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:15:49 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:15:49 [TestNG-tests-2] INFO  Log - Started edge
2025-04-05 13:15:51 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:15:52 [TestNG-tests-2] INFO  Log - Started edge
2025-04-05 13:17:02 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:17:02 [TestNG-tests-2] INFO  Log - Started edge
2025-04-05 13:17:04 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:17:05 [TestNG-tests-2] INFO  Log - Started edge
2025-04-05 13:18:59 [TestNG-tests-2] INFO  Log - Started edge
2025-04-05 13:18:59 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:19:01 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:19:02 [TestNG-tests-2] INFO  Log - Started edge
2025-04-05 13:21:37 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:21:38 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:23:00 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 13:23:01 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:54:24 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:54:27 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:54:28 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:55:43 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:55:45 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:55:46 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:56:32 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:56:34 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:56:35 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:58:08 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:58:09 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-05 23:58:09 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:58:10 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-05 23:58:10 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-05 23:58:11 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-06 00:00:41 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-06 00:00:43 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-06 00:00:43 [TestNG-tests-1] INFO  Log - maximized
2025-04-06 00:00:43 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-06 00:00:43 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-06 00:00:44 [TestNG-tests-1] INFO  Log - maximized
2025-04-06 00:00:44 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-06 00:00:44 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-06 00:00:44 [TestNG-tests-1] INFO  Log - maximized
2025-04-06 00:03:14 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-06 00:03:15 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-06 00:03:15 [TestNG-tests-1] INFO  Log - maximized
2025-04-06 00:03:15 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-06 00:03:16 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-06 00:03:16 [TestNG-tests-1] INFO  Log - maximized
2025-04-06 00:03:16 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-06 00:03:16 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-06 00:03:17 [TestNG-tests-1] INFO  Log - maximized
2025-04-06 00:06:49 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-06 00:06:50 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-06 00:06:50 [TestNG-tests-1] INFO  Log - maximized
2025-04-06 00:06:50 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-06 00:06:51 [TestNG-tests-1] INFO  Log - enterd browser class
2025-04-06 00:06:51 [TestNG-tests-1] INFO  Log - maximized
2025-04-06 00:06:51 [TestNG-tests-1] INFO  Log - Started chrome
2025-04-06 00:06:52 [TestNG-tests-1] INFO  Log - enterd browser class
